,scraped_bday,home_town,scraped_dday,living_status,summary,wiki_page,image
Dave Attell,54-2019-3-20,"New York City, New York, U.S.",,Alive,"David Attell (born c. 1964/1965)[1] is an American stand-up comedian, actor, and writer. He is best known as the host of Comedy Central's Insomniac with Dave Attell, which earned him a cult following.[2] Fellow comics Patton Oswalt and Bill Burr have hailed him as the greatest off-color comedian alive.",https://en.wikipedia.org/wiki/Dave_Attell,https://upload.wikimedia.org/wikipedia/commons/3/32/Dave_Attell_2009.jpg
Rick Aviles,1952-10-14 00:00:00,"Manhattan, New York, U.S.",1995-03-17,Deceased,"Rick Aviles (October 14, 1952 – March 17, 1995) was an American stand-up comedian and actor of Puerto Rican descent, best remembered for portraying the villainous Willie Lopez in the film Ghost.In the 1970s and 1980s, Aviles worked as a stand-up comedian on the Greenwich Village night-club circuit in New York. In 1981, he landed the role of Mad Dog in the film The Cannonball Run. He went on to act in fourteen more film productions.",https://en.wikipedia.org/wiki/Rick_Aviles,https://upload.wikimedia.org/wikipedia/en/7/7a/Rick_Aviles.jpg
Lucille Ball,1911-8-6,"Jamestown, New York, U.S.",1989-4-26,Deceased,"Lucille Désirée Ball (August 6, 1911 – April 26, 1989) was an American actress, comedian, model, studio executive and producer. She was the star and producer of sitcoms I Love Lucy, The Lucy Show, Here's Lucy, and Life with Lucy, as well as comedy television specials aired under the title The Lucy-Desi Comedy Hour.[2]Ball's career began in 1929 when she landed work as a model. Shortly thereafter, she began her performing career on Broadway using the stage name Diane (or Dianne) Belmont.",https://en.wikipedia.org/wiki/Lucille_Ball,https://upload.wikimedia.org/wikipedia/commons/3/38/LDBALL1950s.jpg
Nate Bargatze,1979-3-25,"Old Hickory, Tennessee, U.S.",,Alive,"Nathanael “Nate” Bargatze (born March 25, 1979) is an American comedian and actor from Old Hickory, Tennessee.[1][2] He's known for his special on Comedy Central Presents, has appeared multiple times on Late Night with Conan O'Brien and on The Tonight Show Starring Jimmy Fallon.[3][4][5]Bargatze was part of Jimmy Fallon’s ""Clean Cut Comedy Tour"" in 2013.[6] He won New York’s Comedy Festival and the Boston Comedy Festival in the same year.",https://en.wikipedia.org/wiki/Nate_Bargatze,https://upload.wikimedia.org/wikipedia/commons/f/f2/Nate_Bargatze.jpg
Arj Barker,1974-8-12,San Francisco,,Alive,"Arjan Singh (born 12 August 1974),[2] known by the stage name Arj Barker,[3] is an American comedian and actor from San Anselmo, California. He has toured in North America, Australia, New Zealand, and Europe.[4] He was born to an engineer father and artist mother, and is half-Indian, half-European.[4] His father is of Sikh heritage.",https://en.wikipedia.org/wiki/Arj_Barker,https://upload.wikimedia.org/wikipedia/commons/c/ca/Arj_Barker_%40_Sir_Stewart_Bovell_Park_%287_1_12%29_%286693046301%29.jpg
Roseanne Barr,1952-11-3,"Salt Lake City, Utah, U.S.",,Alive,"Roseanne Cherrie Barr (born November 3, 1952) is an American actress, comedian, writer, producer, and politician. Barr began her career in stand-up comedy before gaining acclaim in the television sitcom Roseanne (1988–1997; 2018). She won an Emmy and a Golden Globe Award for Best Actress for her work on the show.Barr became a stand-up comedian in 1980.",https://en.wikipedia.org/wiki/Roseanne_Barr,https://upload.wikimedia.org/wikipedia/commons/9/92/Roseanne_Barr_Utah_Pride_Festival_2011.jpg
Chuck Barris,1929-06-3,"Philadelphia, Pennsylvania, U.S.",2017-3-21,Deceased,"Charles Hirsch Barris (June 3, 1929 – March 21, 2017)[1] was an American game show creator, producer and host. Barris was known for hosting The Gong Show and creating The Dating Game and The Newlywed Game. He was also a songwriter who wrote ""Palisades Park"" for Freddy Cannon. Barris wrote an autobiography titled Confessions of a Dangerous Mind, which was made into the film of the same name directed by George Clooney.",https://en.wikipedia.org/wiki/Chuck_Barris,https://upload.wikimedia.org/wikipedia/commons/a/a6/The_Gong_Show_Chuck_Barris_1976.jpg
Todd Barry,1964-3-26,"The Bronx, New York, U.S.",,Alive,"Todd Barry (born March 26, 1964) is an American stand-up comedian, actor, and voice actor.[1] He is known for deadpan comedy.[2]Barry was born in The Bronx, New York, and grew up in Florida.[3] He graduated from the University of Florida with a degree in English in 1986.",https://en.wikipedia.org/wiki/Todd_Barry,https://upload.wikimedia.org/wikipedia/commons/c/cb/Todd_Barry.jpg
Greg Behrendt,1963-7-21,"San Francisco, California, U.S.",,Alive,"Gregory Behrendt (born July 21, 1963) is an American comedian and author. His work as a script consultant to the HBO sitcom Sex and the City paved the way for co-authoring of the New York Times bestseller He's Just Not That into You (2004), later adapted into a film by the same name.[1] Apart from that he also hosted two short-lived television shows, The Greg Behrendt Show (2006) and Greg Behrendt's Wake Up Call (2009).[2][3]Greg Behrendt graduated with a Bachelor of Arts degree in theater from the University of Oregon in 1991, though initially he had enrolled to be a business major and to play rugby.",https://en.wikipedia.org/wiki/Greg_Behrendt,https://upload.wikimedia.org/wikipedia/commons/a/a2/Greg_Behrendt_December_2011.jpg
W. Kamau Bell,1973-1-26,"Palo Alto, California, United States|U.S.",,Alive,"Walter Kamau Bell (born January 26, 1973),[3] known professionally as W. Kamau Bell, is an American stand-up comic and television host. He has hosted the CNN series United Shades of America since 2016, and hosted FXX television series Totally Biased with W. Kamau Bell from 2012 to 2013.",https://en.wikipedia.org/wiki/W._Kamau_Bell,https://upload.wikimedia.org/wikipedia/commons/1/1a/W._Kamau_Bell.jpg
Richard Belzer,1944-8-4,"Bridgeport, Connecticut, U.S.",,Alive,"Richard Jay Belzer (born August 4, 1944)[1] is an American actor, stand-up comedian, and author.[2] He is best known for his role as BPD Detective, NYPD Detective/Sergeant and DA Investigator John Munch,[3] whom he has portrayed as a regular cast member on the NBC police drama series Homicide: Life on the Street[4] and Law & Order: Special Victims Unit,[3] as well as in guest appearances on a number of other series. He portrayed the character for 23 years from 1993 to 2016.Belzer was born in Bridgeport, Connecticut, the son of Frances and Charles Belzer, a tobacco and candy retailer.",https://en.wikipedia.org/wiki/Richard_Belzer,https://upload.wikimedia.org/wikipedia/commons/b/bd/Richard_Belzer.JPG
Owen Benjamin,1980-5-24,"Fulton, Oswego County, New York|Fulton, New York, U.S.",,Alive,"Owen Benjamin Smith (born May 24, 1980) is an American comedian, actor, and alt-right political commentator.Owen Benjamin was born to John Kares Smith and Jean Troy-Smith, both professors at Oswego State University.[1] He attended Plattsburgh State College, where he worked at the student-run TV station.[2]In 2008, Benjamin had a supporting role in The House Bunny.",https://en.wikipedia.org/wiki/Owen_Benjamin,https://upload.wikimedia.org/wikipedia/commons/8/8e/Owen_Benjamin_in_November_2017.png
Ron Bennington,1958-12-31,"Philadelphia, Pennsylvania, U.S.",,Alive,"Ronald Lee Bennington[1] (born December 31, 1958) is an American radio personality and comedian, who is currently the co-host of Bennington and host of Unmasked. Additionally, he has been a co-host of a number of radio shows, including The Ron and Ron Show and The Ron and Fez Show.In 1986, Bennington opened the Ron Bennington's Comedy Scene in Clearwater, Florida; he met Ron Diaz, on whose radio show he plugged his club, and quickly the two created the morning radio program The Ron and Ron Show[2] at Tampa Bay's WYNF-FM, known as 95YNF.[3] The show had huge ratings success and Ron & Ron known as ""Radio's Bad Boys"" then partnered with their agent Ross Reback to form The Ron & Ron Radio Network to own and syndicate the programming.",https://en.wikipedia.org/wiki/Ron_Bennington,https://upload.wikimedia.org/wikipedia/commons/6/64/Ron_bennington_%2833199085234%29.jpg
Jack Benny,1894-2-14,"Chicago, Illinois, U.S.",1974-12-26,Deceased,"Jack Benny (born Benjamin Kubelsky; February 14, 1894 – December 26, 1974) was an American entertainer, who transitioned from modest success playing violin on the vaudeville circuit to a highly popular comedic career in radio, television, and film. He was known for his comic timing and the ability to cause laughter with a pregnant pause or a single expression, such as his signature exasperated ""Well!""His radio and television programs, popular from 1932 until his death in 1974, were a major influence on the sitcom genre. Benny often portrayed his character as a miser, who obliviously played his violin badly, and ridiculously claimed to be 39 years of age, regardless of his actual age.Benny was born Benjamin Kubelsky in Chicago on February 14, 1894, and grew up in nearby Waukegan.",https://en.wikipedia.org/wiki/Jack_Benny,https://upload.wikimedia.org/wikipedia/commons/b/bf/Jack_Benny_-_1964.jpg
Doug Benson,1962-07-02,"San Diego, California, United States|U.S.",,Alive,"Douglas Steven Benson (born July 2, 1962) is an American comedian, marijuana rights advocate, television host, actor and reality-show judge who has appeared on Getting Doug With High, Comedy Central Presents, Best Week Ever, and Trailer Park Boys, and was a contestant on Last Comic Standing in the show's fifth season. He served as a judge for the Comedy Central series The High Court with Doug Benson.In 2007, he starred in the film Super High Me, a documentary about marijuana usage.[2] Benson also currently hosts the popular Doug Loves Movies podcast along with his weekly marijuana video podcast show Getting Doug with High.",https://en.wikipedia.org/wiki/Doug_Benson,https://upload.wikimedia.org/wikipedia/commons/7/78/Doug_Benson_by_Gage_Skidmore.jpg
Milton Berle,1908-7-12,"Harlem, New York City, U.S.",2002-3-27,Deceased,"Milton Berle (born Mendel Berlinger; Yiddish: ‏מענדעל בערלינגער‎; July 12, 1908 – March 27, 2002) was an American comedian and actor. Berle's career as an entertainer spanned over 80 years, first in silent films and on stage as a child actor, then in radio, movies and television. As the host of NBC's Texaco Star Theatre (1948–55), he was the first major American television star and was known to millions of viewers as ""Uncle Miltie"" and ""Mr. Television"" during the first Golden Age of Television.",https://en.wikipedia.org/wiki/Milton_Berle,https://upload.wikimedia.org/wikipedia/commons/2/20/Milton_Berle_-_publicity.jpg
Shelley Berman,1925-2-3,"Chicago, Illinois, U.S.",2017-09-01,Deceased,"Sheldon Leonard Berman (February 3, 1925 – September 1, 2017) was an American comedian, actor, writer, teacher, lecturer and poet.[1]In his comedic career, Berman was awarded three gold records and he won the first Grammy Award for a spoken comedy recording in 1959.[2] He played Larry David's father on Curb Your Enthusiasm, a role for which he received a 2008 Emmy Award nomination.[3]He taught humor writing at the University of Southern California for more than 20 years.",https://en.wikipedia.org/wiki/Shelley_Berman,https://upload.wikimedia.org/wikipedia/commons/2/2c/Shelley_berman_1960s.jpg
Sandra Bernhard,1955-6-6,"Flint, Michigan, U.S.",,Alive,"Sandra Bernhard (born June 6, 1955) is an American actress, comedian, singer, and author. She first gained attention in the late 1970s, with her stand-up comedy in which she often bitterly critiqued celebrity culture and political figures.Bernhard is best known as portraying Nancy Barlett Thomas on the ABC sitcom Roseanne from the fourth season (1991) to the end of the show in 1997. She is currently starring as Nurse Judy Kubrak in the FX drama series Pose.",https://en.wikipedia.org/wiki/Sandra_Bernhard,https://upload.wikimedia.org/wikipedia/commons/5/51/Sandra_Bernhard_crop.JPG
Matt Besser,1967-9-22,"Little Rock, Arkansas, U.S.",,Alive,"Matthew Gregory Besser (born September 22, 1967) is an American actor, comedian, director, producer, and writer, best known as one of the four founding members of the Upright Citizens Brigade sketch comedy troupe, who had their own show on Comedy Central from 1998–2000. He currently hosts the improvisation-based podcast Improv4humans on the Earwolf podcasting network.Besser was born and raised in Little Rock, Arkansas,[1] to parents Diane and Sandy Besser.[2] His father was Jewish, whereas his mother was Christian, and Besser is an atheist.",https://en.wikipedia.org/wiki/Matt_Besser,https://upload.wikimedia.org/wikipedia/commons/d/d9/MattBesser.jpg
Michelle Biloon,1976-10-25 00:00:00,"Fullerton, California|Fullerton, California|CA",,Alive,"Michelle Biloon is an American stand-up comic. Biloon started out in Austin, Texas and, after four years, moved to Los Angeles, then on to Philadelphia, where she currently resides and regularly performs. She has been heard on the podcasts 2 Dope Queens, Do You Need A Ride?, Comedy Bang Bang, and Doug Loves Movies. She has been featured on the TV shows Chelsea Lately, Comedy Central's Premium Blend, The Late Late Show with Craig Ferguson and The Gong Show with Dave Attell.",https://en.wikipedia.org/wiki/Michelle_Biloon,https://upload.wikimedia.org/wikipedia/commons/d/d1/Michelle_Biloon_2014_portrait_by_Paul_Smith.jpg
Mike Birbiglia,1978-6-20,"Worcester, Massachusetts, U.S.",,Alive,"Mike Birbiglia (/bɜːrˈbɪɡliə/; born June 20, 1978) is an American stand-up comedian, actor, director, producer and writer. He is a frequent contributor to This American Life and The Moth, and has released several comedy albums and television specials. His feature-length directorial debut Sleepwalk with Me (2012), based on his one-man show of the same name and in which he also starred, won awards at the Sundance and Nantucket film festivals. He also wrote, directed, and starred in the comedy-drama Don't Think Twice (2016).",https://en.wikipedia.org/wiki/Mike_Birbiglia,https://upload.wikimedia.org/wikipedia/commons/1/10/Mike_Birbiglia.jpg
